Chart-1,1797,buggysourceorgjfreechartrenderercategoryAbstractCategoryItemRenderer.java
Chart-3,1058,buggysourceorgjfreedatatimeTimeSeries.java
Chart-8,175,buggysourceorgjfreedatatimeWeek.java
Chart-9,944,buggysourceorgjfreedatatimeTimeSeries.java
Chart-11,274,buggysourceorgjfreechartutilShapeUtilities.java
Chart-20,95,buggysourceorgjfreechartplotValueMarker.java
Chart-24,126,buggysourceorgjfreechartrendererGrayPaintScale.java
Chart-26,1192,buggysourceorgjfreechartaxisAxis.java
Closure-2,1570,buggysrccomgooglejavascriptjscompTypeCheck.java
Closure-7,613,buggysrccomgooglejavascriptjscomptypeChainableReverseAbstractInterpreter.java
Closure-14,767,buggysrccomgooglejavascriptjscompControlFlowAnalysis.java
Closure-21,118,buggysrccomgooglejavascriptjscompCheckSideEffects.java
Closure-33,568,buggysrccomgooglejavascriptrhinojstypePrototypeObjectType.java
Closure-46,145,buggysrccomgooglejavascriptrhinojstypeRecordType.java
Closure-57,197,buggysrccomgooglejavascriptjscompClosureCodingConvention.java
Closure-62,97,buggysrccomgooglejavascriptjscompLightweightMessageFormatter.java
Closure-63,97,buggysrccomgooglejavascriptjscompLightweightMessageFormatter.java
Closure-73,1045,buggysrccomgooglejavascriptjscompCodeGenerator.java
Closure-86,2465,buggysrccomgooglejavascriptjscompNodeUtil.java
Closure-92,789,buggysrccomgooglejavascriptjscompProcessClosurePrimitives.java
Closure-93,789,buggysrccomgooglejavascriptjscompProcessClosurePrimitives.java
Closure-104,291,buggysrccomgooglejavascriptrhinojstypeUnionType.java
Closure-109,1908,buggysrccomgooglejavascriptjscompparsingJsDocInfoParser.java
Closure-115,731,buggysrccomgooglejavascriptjscompFunctionInjector.java
Closure-118,497,buggysrccomgooglejavascriptjscompDisambiguateProperties.java
Lang-6,95,buggysrcmainjavaorgapachecommonslang3texttranslateCharSequenceTranslator.java
Lang-26,820,buggysrcmainjavaorgapachecommonslang3timeFastDateFormat.java
Lang-29,158,buggysrcjavaorgapachecommonslangtextExtendedMessageFormat.java
Lang-33,910,buggysrcmainjavaorgapachecommonslang3ClassUtils.java
Lang-38,872,buggysrcjavaorgapachecommonslang3timeFastDateFormat.java
Lang-51,684,buggysrcjavaorgapachecommonslangBooleanUtils.java
Lang-55,118,buggysrcjavaorgapachecommonslangtimeStopWatch.java
Lang-57,223,buggysrcjavaorgapachecommonslangLocaleUtils.java
Lang-59,884,buggysrcjavaorgapachecommonslangtextStrBuilder.java
Math-5,305,buggysrcmainjavaorgapachecommonsmath3complexComplex.java
Math-27,597,buggysrcmainjavaorgapachecommonsmath3fractionFraction.java
Math-30,173,buggysrcmainjavaorgapachecommonsmath3statinferenceMannWhitneyUTest.java
Math-33,338,buggysrcmainjavaorgapachecommonsmath3optimizationlinearSimplexTableau.java
Math-34,209,buggysrcmainjavaorgapachecommonsmath3geneticsListPopulation.java
Math-41,520,buggysrcmainjavaorgapachecommonsmathstatdescriptivemomentVariance.java
Math-50,188,buggysrcmainjavaorgapachecommonsmathanalysissolversBaseSecantSolver.java
Math-57,175,buggysrcmainjavaorgapachecommonsmathstatclusteringKMeansPlusPlusClusterer.java
Math-65,258,buggysrcmainjavaorgapachecommonsmathoptimizationgeneralAbstractLeastSquaresOptimizer.java
Math-70,72,buggysrcmainjavaorgapachecommonsmathanalysissolversBisectionSolver.java
Math-75,303,buggysrcmainjavaorgapachecommonsmathstatFrequency.java
Math-94,412,buggysrcjavaorgapachecommonsmathutilMathUtils.java
Math-96,299,buggysrcjavaorgapachecommonsmathcomplexComplex.java
Math-105,264,buggysrcjavaorgapachecommonsmathstatregressionSimpleRegression.java
Time-4,464,buggysrcmainjavaorgjodatimePartial.java
Time-7,710,buggysrcmainjavaorgjodatimeformatDateTimeFormatter.java
Mockito-38,48,buggysrcorgmockitointernalverificationargumentmatchingArgumentMatchingTool.java
Mockito-29,568,buggysrccomgooglejavascriptrhinojstypePrototypeObjectType.java
Math-98,568,buggysrccomgooglejavascriptrhinojstypePrototypeObjectType.java
